"","Pclass","Sex","Age","SibSp","Parch","Fare"
"774",3,"male",27,0,0,7.225
"775",2,"female",54,1,3,23
"776",3,"male",18,0,0,7.75
"777",3,"male",18,0,0,7.75
"778",3,"female",5,0,0,12.475
"779",3,"male",45,0,0,7.7375
"780",1,"female",43,0,1,211.3375
"781",3,"female",13,0,0,7.2292
"782",1,"female",17,1,0,57
"783",1,"male",29,0,0,30
"784",3,"male",26,1,2,23.45
"785",3,"male",25,0,0,7.05
"786",3,"male",25,0,0,7.25
"787",3,"female",18,0,0,7.4958
"788",3,"male",8,4,1,29.125
"789",3,"male",1,1,2,20.575
"790",1,"male",46,0,0,79.2
"791",3,"male",6,0,0,7.75
"792",2,"male",16,0,0,26
"793",3,"female",9,8,2,69.55
"794",1,"male",33,0,0,30.6958
"795",3,"male",25,0,0,7.8958
"796",2,"male",39,0,0,13
"797",1,"female",49,0,0,25.9292
"798",3,"female",31,0,0,8.6833
"799",3,"male",30,0,0,7.2292
"800",3,"female",30,1,1,24.15
"801",2,"male",34,0,0,13
"802",2,"female",31,1,1,26.25
"803",1,"male",11,1,2,120
"804",3,"male",0.42,0,1,8.5167
"805",3,"male",27,0,0,6.975
"806",3,"male",31,0,0,7.775
"807",1,"male",39,0,0,0
"808",3,"female",18,0,0,7.775
"809",2,"male",39,0,0,13
"810",1,"female",33,1,0,53.1
"811",3,"male",26,0,0,7.8875
"812",3,"male",39,0,0,24.15
"813",2,"male",35,0,0,10.5
"814",3,"female",6,4,2,31.275
"815",3,"male",30.5,0,0,8.05
"816",1,"male",47,0,0,0
"817",3,"female",23,0,0,7.925
"818",2,"male",31,1,1,37.0042
"819",3,"male",43,0,0,6.45
"820",3,"male",10,3,2,27.9
"821",1,"female",52,1,1,93.5
"822",3,"male",27,0,0,8.6625
"823",1,"male",38,0,0,0
"824",3,"female",27,0,1,12.475
"825",3,"male",2,4,1,39.6875
"826",3,"male",27,0,0,6.95
"827",3,"male",24,0,0,56.4958
"828",2,"male",1,0,2,37.0042
"829",3,"male",4,0,0,7.75
"830",1,"female",62,0,0,80
"831",3,"female",15,1,0,14.4542
"832",2,"male",0.83,1,1,18.75
"833",3,"male",6,0,0,7.2292
"834",3,"male",23,0,0,7.8542
"835",3,"male",18,0,0,8.3
"836",1,"female",39,1,1,83.1583
"837",3,"male",21,0,0,8.6625
"838",3,"male",44,0,0,8.05
"839",3,"male",32,0,0,56.4958
"840",1,"male",33,0,0,29.7
"841",3,"male",20,0,0,7.925
"842",2,"male",16,0,0,10.5
"843",1,"female",30,0,0,31
"844",3,"male",34.5,0,0,6.4375
"845",3,"male",17,0,0,8.6625
"846",3,"male",42,0,0,7.55
"847",3,"male",11,8,2,69.55
"848",3,"male",35,0,0,7.8958
"849",2,"male",28,0,1,33
"850",1,"female",38,1,0,89.1042
"851",3,"male",4,4,2,31.275
"852",3,"male",74,0,0,7.775
"853",3,"female",9,1,1,15.2458
"854",1,"female",16,0,1,39.4
"855",2,"female",44,1,0,26
"856",3,"female",18,0,1,9.35
"857",1,"female",45,1,1,164.8667
"858",1,"male",51,0,0,26.55
"859",3,"female",24,0,3,19.2583
"860",3,"male",4,0,0,7.2292
"861",3,"male",41,2,0,14.1083
"862",2,"male",21,1,0,11.5
"863",1,"female",48,0,0,25.9292
"864",3,"female",14,8,2,69.55
"865",2,"male",24,0,0,13
"866",2,"female",42,0,0,13
"867",2,"female",27,1,0,13.8583
"868",1,"male",31,0,0,50.4958
"869",3,"male",27,0,0,9.5
"870",3,"male",4,1,1,11.1333
"871",3,"male",26,0,0,7.8958
"872",1,"female",47,1,1,52.5542
"873",1,"male",33,0,0,5
"874",3,"male",47,0,0,9
"875",2,"female",28,1,0,24
"876",3,"female",15,0,0,7.225
"877",3,"male",20,0,0,9.8458
"878",3,"male",19,0,0,7.8958
"879",3,"male",45,0,0,7.8958
"880",1,"female",56,0,1,83.1583
"881",2,"female",25,0,1,26
"882",3,"male",33,0,0,7.8958
"883",3,"female",22,0,0,10.5167
"884",2,"male",28,0,0,10.5
"885",3,"male",25,0,0,7.05
"886",3,"female",39,0,5,29.125
"887",2,"male",27,0,0,13
"888",1,"female",19,0,0,30
"889",3,"female",37,1,2,23.45
"890",1,"male",26,0,0,30
"891",3,"male",32,0,0,7.75
